month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
1,,,0JQ,,1,0,0,0,0,0,0,3000,0,3000,0,0,0,0,0,0,5100,0,5100,2016
1,21352,0WQ,0WQ,Avjet Corporation,1,0,0,0,0,0,0,163052,47060,210112,0,0,0,0,0,0,396216,140239,536455,2016
1,21645,23Q,23Q,Songbird Airways Inc.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1,21652,27Q,27Q,"Jet Aviation Flight Services, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1,20408,5V,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,260848,0,0,0,0,260848,284362,0,284362,522405,0,0,0,0,522405,569497,0,569497,2016
1,19917,5X,5X,United Parcel Service,3,32138000,9743000,16116000,2972000,28831000,60969000,32138000,28831000,60969000,34098000,9752000,17965000,3524000,31241000,65339000,34098000,31241000,65339000,2016
1,20007,5Y,5Y,Atlas Air Inc.,3,0,0,0,0,0,0,4850893,19958297,24809190,0,0,0,0,0,0,8575368,35795479,44370847,2016
1,19874,8C,8C,Air Transport International,2,0,0,0,0,0,0,24211,725041,749252,0,0,0,0,0,0,42347,1855154,1897501,2016
1,20363,9E,9E,Endeavor Air Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1,20190,9S,9S,Southern Air Inc.,2,821638,4696010,580875,0,5276885,6098523,821638,5276885,6098523,1725440,9861621,1219839,0,11081460,12806900,1725440,11081460,12806900,2016
1,19805,AA,AA,American Airlines Inc.,3,174110023,34804210,18848029,54176666,107828905,281938928,174766325,107982308,282748633,195098544,34536551,18632951,68174028,121343530,316442074,195806362,121537723,317344085,2016
1,20453,ABX,ABX,ABX Air Inc,2,193054,0,0,0,0,193054,193054,0,193054,461092,0,0,0,0,461092,461092,0,461092,2016
1,19930,AS,AS,Alaska Airlines Inc.,3,36507433,0,0,1070108,1070108,37577541,36597369,1070108,37667477,45727266,0,0,1324811,1324811,47052077,45827760,1324811,47152571,2016
1,20409,B6,B6,JetBlue Airways,3,48414077,0,0,12141747,12141747,60555824,48414077,12209631,60623708,56262137,0,0,14109959,14109959,70372096,56262137,14275362,70537499,2016
1,21167,CP,CP,Compass Airlines,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1,19790,DL,DL,Delta Air Lines Inc.,3,137682215,51147892,38502896,30606142,120256930,257939145,139317615,120833633,260151248,187259219,69565371,52367129,41626889,163559389,350818608,190375249,164343753,354719002,2016
1,21650,EE,EE,Eastern Airlines Group Inc.,1,0,0,0,0,0,0,153520,221520,375040,0,0,0,0,0,0,202646,292406,495052,2016
1,20366,EV,EV,ExpressJet Airlines Inc.,3,81827,0,0,0,0,81827,81827,0,81827,159104,0,0,0,0,159104,159104,0,159104,2016
1,20436,F9,F9,Frontier Airlines Inc.,3,14431035,0,0,1659053,1659053,16090088,14496478,1659053,16155531,14466443,0,0,1912704,1912704,16379147,14532960,1912704,16445664,2016
1,20107,FX,FX,Federal Express Corporation,3,56549784,11101514,18643661,898730,30643905,87193689,57475790,31238131,88713921,58229000,12100000,22567000,1246000,35913000,94142000,59236000,37262000,96498000,2016
1,20368,G4,G4,Allegiant Air,3,11716758,0,0,0,0,11716758,12264170,0,12264170,14906048,0,0,0,0,14906048,15650180,0,15650180,2016
1,20500,G7,G7,GoJet Airlines LLC d/b/a United Express,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1,20166,GFQ,GFQ,Gulf And Caribbean Cargo,1,0,0,0,0,0,0,58531,73029,131560,0,0,0,0,0,0,87972,123487,211459,2016
1,20402,GL,GL,Miami Air International,2,0,0,0,0,0,0,471222,214746,685968,0,0,0,0,0,0,857483,390776,1248259,2016
1,19690,HA,HA,Hawaiian Airlines Inc.,3,13941595,0,5999327,0,5999327,19940922,13941595,6025122,19966717,15802368,0,7402409,0,7402409,23204777,15802368,7439636,23242004,2016
1,20310,WL,K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,0,0,0,0,0,0,48403,40699,89102,0,0,0,0,0,0,123588,103917,227505,2016
1,20370,KAQ,KAQ,Kalitta Air LLC,2,0,0,0,0,0,0,410148,3050479,3460627,0,0,0,0,0,0,611545,4869792,5481337,2016
1,21629,KD,KD,Western Global,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1,21634,KH,KH,Aloha Air Cargo,1,413456,0,0,0,0,413456,413456,0,413456,434504,0,0,0,0,434504,434504,0,434504,2016
1,20372,KLQ,KLQ,Kalitta Charters II,1,0,0,0,0,0,0,109805,27841,137646,0,0,0,0,0,0,185000,53552,238552,2016
1,20169,L2,L2,Lynden Air Cargo Airlines,1,89510,0,0,0,0,89510,186910,65872,252782,161258,0,0,0,0,161258,367368,22949,390317,2016
1,20151,M6,M6,Amerijet International,2,0,0,0,1430179,1430179,1430179,272239,1519209,1791448,0,0,0,1749260,1749260,1749260,332977,1858153,2191130,2016
1,20398,MQ,MQ,Envoy Air,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1,20405,N8,N8,National Air Cargo Group Inc d/ba National Airlines,1,83122,0,0,0,0,83122,137248,638661,775909,115124,0,0,0,0,115124,189081,1308431,1497512,2016
1,20108,NC,NC,Northern Air Cargo Inc.,1,330685,0,0,0,0,330685,434377,12514,446891,436594,0,0,0,0,436594,593187,19148,612335,2016
1,20416,NK,NK,Spirit Air Lines,3,21470845,0,0,2045962,2045962,23516807,21470845,2045962,23516807,26708498,0,0,2545059,2545059,29253557,26708498,2545059,29253557,2016
1,20397,OH,OH,PSA Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1,20304,OO,OO,SkyWest Airlines Inc.,3,5444514,0,0,0,0,5444514,5444514,0,5444514,8161174,0,0,0,0,8161174,8161174,0,8161174,2016
1,20177,PFQ,PFQ,Asia Pacific,1,0,0,0,0,0,0,0,273735,273735,0,0,0,0,0,0,0,512160,512160,2016
1,20100,PO,PO,Polar Air Cargo Airways,3,2743245,732505,11340447,0,12072952,14816197,2743245,12072952,14816197,3475089,1137597,13613593,0,14751190,18226279,3475089,14751190,18226279,2016
1,20149,PRQ,PRQ,Florida West Airlines Inc.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1,19687,QX,QX,Horizon Air,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1,20448,S5,S5,Shuttle America Corp.,2,3793819,0,0,0,0,3793819,3793819,0,3793819,3841009,0,0,0,0,3841009,3841009,0,3841009,2016
1,20422,SY,SY,Sun Country Airlines d/b/a MN Airlines,2,2960736,0,0,1785889,1785889,4746625,3278155,1902325,5180480,3610049,0,0,2309531,2309531,5919580,4337385,2485305,6822690,2016
1,20447,U7,U7,USA Jet Airlines Inc.,2,0,0,0,0,0,0,222925,8289,231214,0,0,0,0,0,0,262237,15708,277945,2016
1,19977,UA,UA,United Air Lines Inc.,3,105832738,49571536,53863397,29504788,132939721,238772459,106816177,133413618,240229795,116933634,57361049,65397671,36006770,158765490,275699124,118320230,159405790,277726020,2016
1,21171,VX,VX,Virgin America,3,13914216,0,0,208163,208163,14122379,13986522,208163,14194685,15933654,0,0,252429,252429,16186083,16027319,252429,16279748,2016
1,20308,WE,WE,Centurion Cargo Inc.,2,0,0,0,0,0,0,0,449711,449711,0,0,0,0,0,0,0,537169,537169,2016
1,20195,WI,WI,Sky Lease Cargo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1,20287,WP,WP,Island Air Hawaii,1,97142,0,0,0,0,97142,97142,0,97142,116920,0,0,0,0,116920,116920,0,116920,2016
1,20377,X9,X9,Omni Air Express,2,0,0,0,0,0,0,427170,2334415,2761585,0,0,0,0,0,0,717850,7200582,7918432,2016
1,20207,XP,XP,XTRA Airways,1,0,0,0,0,0,0,290899,468922,759821,0,0,0,0,0,0,494418,796989,1291407,2016
