departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,airline_id,unique_carrier_name,region,carrier,carrier_name,carrier_group,carrier_group_new,origin_airport_id,origin_city_market_id,origin,origin_city_name,origin_country,origin_country_name,dest_airport_id,dest_city_market_id,dest,dest_city_name,dest_country,dest_country_name,aircraft_group,aircraft_type,aircraft_config,year,month,distance_group,class,data_source,row_num
0,9,749252,2259,1977,0,0,1914,0,0,JD,21821,Beijing Capital Airlines,I,JD,Beijing Capital Airlines,0,0,12115,32115,HGH,"Hangzhou, China",CN,China,14955,34955,SPN,"Saipan, TT",US,United States,6,696,1,2019,1,4,F,IF,1
0,10,482000,680,502,0,0,2378,2922,2766,1EQ,21518,"KaiserAir, Inc.",D,1EQ,"KaiserAir, Inc.",1,4,12758,32758,KOA,"Kona, HI",US,United States,13796,32457,OAK,"Oakland, CA",US,United States,6,614,1,2019,1,5,L,DU,1
0,1,2427,12,2,0,0,4189,0,0,26Q,21651,Albinati aviation Limited,I,26Q,Albinati aviation Limited,0,0,12264,30852,IAD,"Washington, DC",US,United States,15326,35326,TRN,"Turin, Italy",IT,Italy,7,775,1,2019,1,9,L,IF,1
0,5,5500,30,11,0,1298,15,75,55,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,10551,30113,BET,"Bethel, AK",US,United States,12709,32709,KKI,"Akiachak, AK",US,United States,0,79,3,2019,1,1,F,DU,1
0,4,988233,0,0,744801,0,4969,0,0,P3,21780,Cargologicair Limited,I,P3,Cargologicair Limited,0,0,13930,30977,ORD,"Chicago, IL",US,United States,15058,31345,SVO,"Moscow, Russia",RU,Russia,8,820,2,2019,1,10,G,IF,1
0,1,0,232,0,0,0,3354,0,0,LS,21624,Jet2.com,I,LS,Jet2.com,0,0,13165,33165,MAN,"Manchester, United Kingdom",GB,United Kingdom,11618,31703,EWR,"Newark, NJ",US,United States,6,622,1,2019,1,7,F,IF,1
0,1,264000,0,0,63800,0,3293,0,0,ADB,20110,Antonov Company,I,ADB,Antonov Company,0,0,10884,30884,CAY,"Cayenne, French Guiana",GF,French Guiana,12266,31453,IAH,"Houston, TX",US,United States,8,880,2,2019,1,7,P,IF,1
62,47,85540,376,264,0,0,186,3760,3102,3E,21253,"Multi-Aero, Inc. d/b/a Air Choice One",D,0MQ,"Multi-Aero, Inc. d/b/a Air Choice One",1,6,10744,30744,BRL,"Burlington, IA",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,4,415,1,2019,1,1,F,DU,1
0,9,351591,2754,1739,0,0,7248,0,0,CA,19543,Air China,I,CA,Air China,0,0,12892,32575,LAX,"Los Angeles, CA",US,United States,15113,35113,SZX,"Shenzhen, China",CN,China,6,889,1,2019,1,15,F,IF,1
0,16,711674,3520,2293,0,0,2792,0,0,WW,21598,WOW Air ehf,I,WW,WOW Air ehf,0,0,12651,32651,KEF,"Keflavik/Reykjavik, Iceland",IS,Iceland,11433,31295,DTW,"Detroit, MI",US,United States,6,699,1,2019,1,6,F,IF,1
